Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount
Abbotsford,2,h,1035000.0,4/02/2016,2.5,3067,2.0,1.0,0,156.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1465000.0,4/03/2017,2.5,3067,3.0,2.0,0,134.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,4,h,1600000.0,4/06/2016,2.5,3067,3.0,1.0,2,120.0,2014.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1876000.0,7/05/2016,2.5,3067,4.0,2.0,0,245.0,1910.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1636000.0,8/10/2016,2.5,3067,2.0,1.0,2,256.0,1890.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1097000.0,8/10/2016,2.5,3067,3.0,1.0,2,220.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1350000.0,12/11/2016,2.5,3067,3.0,2.0,2,214.0,2005.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,u,750000.0,12/11/2016,2.5,3067,2.0,2.0,1,0.0,2009.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1310000.0,15/10/2016,2.5,3067,2.0,1.0,2,238.0,1890.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1200000.0,16/07/2016,2.5,3067,3.0,2.0,1,113.0,1880.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1176500.0,16/07/2016,2.5,3067,2.0,1.0,1,138.0,1890.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,890000.0,17/09/2016,2.5,3067,2.0,1.0,1,150.0,1985.0,Yarra,Northern Metropolitan,4019
Abbotsford,4,h,1330000.0,18/03/2017,2.5,3067,4.0,2.0,2,780.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,t,900000.0,18/03/2017,2.5,3067,3.0,2.0,2,0.0,2010.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,u,500000.0,18/06/2016,2.5,3067,2.0,1.0,1,0.0,1970.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1100000.0,18/06/2016,2.5,3067,2.0,2.0,1,124.0,2013.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1315000.0,19/11/2016,2.5,3067,2.0,1.0,0,147.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1447500.0,22/08/2016,2.5,3067,3.0,3.0,1,166.0,2012.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1135000.0,22/08/2016,2.5,3067,2.0,2.0,2,98.0,1920.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1290000.0,25/02/2017,2.5,3067,3.0,1.0,1,168.0,1950.0,Yarra,Northern Metropolitan,4019
Abbotsford,1,u,470000.0,26/07/2016,2.5,3067,1.0,1.0,1,0.0,2013.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1180000.0,27/11/2016,2.5,3067,2.0,1.0,0,162.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,3,h,1195000.0,27/11/2016,2.5,3067,3.0,2.0,1,120.0,1998.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1012500.0,28/05/2016,2.5,3067,2.0,1.0,0,182.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,2,h,1030000.0,30/07/2016,2.5,3067,2.0,1.0,1,172.0,1930.0,Yarra,Northern Metropolitan,4019
Airport West,3,t,840000.0,3/09/2016,13.5,3042,3.0,2.0,1,303.0,2016.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,730000.0,3/12/2016,13.5,3042,3.0,2.0,1,0.0,1965.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,770000.0,4/03/2017,13.5,3042,3.0,2.0,1,0.0,1965.0,Moonee Valley,Western Metropolitan,3464
Airport West,2,h,603000.0,4/03/2017,13.5,3042,2.0,1.0,1,272.0,1950.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,t,700000.0,4/03/2017,13.5,3042,3.0,2.0,2,239.0,2009.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,600000.0,4/03/2017,13.5,3042,2.0,1.0,1,290.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,2,u,500000.0,4/03/2017,13.5,3042,2.0,1.0,1,168.0,2011.0,Moonee Valley,Western Metropolitan,3464
Airport West,6,h,725000.0,7/05/2016,13.5,3042,6.0,3.0,2,976.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,2,t,450000.0,7/05/2016,13.5,3042,2.0,1.0,1,110.0,2015.0,Moonee Valley,Western Metropolitan,3464
Airport West,2,u,515000.0,7/11/2016,13.5,3042,2.0,1.0,1,141.0,2013.0,Moonee Valley,Western Metropolitan,3464
Airport West,2,u,530000.0,10/09/2016,13.5,3042,2.0,1.0,1,120.0,2012.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,895000.0,10/09/2016,13.5,3042,3.0,1.0,6,1063.0,1975.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,805000.0,10/12/2016,13.5,3042,3.0,1.0,1,0.0,1950.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,u,752000.0,11/02/2017,13.5,3042,3.0,1.0,1,265.0,1993.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,t,700000.0,15/10/2016,13.5,3042,3.0,2.0,2,165.0,2009.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,830000.0,16/04/2016,13.5,3042,3.0,1.0,2,971.0,1960.0,Moonee Valley,Western Metropolitan,3464
Airport West,2,u,462500.0,16/07/2016,13.5,3042,2.0,1.0,1,164.0,2003.0,Moonee Valley,Western Metropolitan,3464
Airport West,2,h,675000.0,16/07/2016,13.5,3042,2.0,1.0,1,612.0,1975.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,1042000.0,16/07/2016,13.5,3042,3.0,2.0,5,612.0,1950.0,Moonee Valley,Western Metropolitan,3464
Airport West,4,h,773000.0,17/09/2016,13.5,3042,5.0,3.0,4,531.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,810000.0,18/03/2017,13.5,3042,3.0,3.0,2,555.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,715000.0,18/03/2017,13.5,3042,3.0,2.0,2,422.0,1995.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,t,540000.0,18/06/2016,13.5,3042,2.0,2.0,1,161.0,2010.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,t,825000.0,19/11/2016,13.5,3042,3.0,2.0,1,293.0,1960.0,Moonee Valley,Western Metropolitan,3464
Airport West,3,h,685000.0,22/05/2016,13.5,3042,3.0,1.0,1,579.0,1975.0,Moonee Valley,Western Metropolitan,3464
Airport West,4,h,900000.0,27/11/2016,13.5,3042,4.0,2.0,3,628.0,1975.0,Moonee Valley,Western Metropolitan,3464
